package_id,package_name,destination,city,country,trip_lane,mood_tags,weather_tags,duration_days,duration_nights,base_price_inr,traveler_fit,activities,highlight,avg_rating,family_friendly,honeymoon_pick,solo_friendly,budget_tier
1,Goa Essentials Escape,Goa,Goa,India,India,Relaxed|Party|Romantic,Warm|Cool,4,3,27000,couple|friends|solo,Beach|Nightlife|Cafes|Water Sports|Sunsets,"Beach days, cafe scenes, sunset spots and easy coastal energy",4.5,No,Yes,Yes,budget
2,Goa Party & Water Sports Rush,Goa,Goa,India,India,Party|Adventurous,Warm|Hot,5,4,35000,friends|solo,Parasailing|Jet Ski|Club Hopping|Shacks|Feni Tasting,"High energy beaches, water sports and Goa's legendary nightlife",4.3,No,No,Yes,moderate
3,Goa Luxury Couple Retreat,Goa,Goa,India,India,Romantic|Relaxed,Warm|Cool,6,5,65000,couple,Private Beach|Spa|Candlelit Dinner|Sunset Cruise,Intimate beachside escapes for two,4.7,No,Yes,No,moderate
4,Goa Wellness & Heritage Tour,Goa,Goa,India,India,Spiritual|Relaxed,Warm|Cool,5,4,30000,solo|couple,Churches|Yoga|Spice Farm|Old Goa|Meditation,Soulful Goa beyond the beaches,4.4,No,No,Yes,moderate
5,Manali Snow Adventure,Manali,Manali,India,India,Adventurous|Relaxed,Cold|Cool,5,4,32000,friends|couple|solo,Rohtang Pass|Skiing|Snow Biking|Solang Valley|Camping,"Snowscapes, ski slopes and mountain highs",4.6,No,No,Yes,moderate
6,Manali Honeymoon in Snow,Manali,Manali,India,India,Romantic|Relaxed,Cold|Cool,6,5,55000,couple,Hadimba Temple|Spa|Snow Walk|Log Fire|Local Cuisine,Cozy snow-capped romance for couples,4.7,No,Yes,No,moderate
7,Manali Extreme Trekking Expedition,Manali,Manali,India,India,Adventurous,Cold,7,6,40000,solo|friends,Beas Kund Trek|Hampta Pass|River Crossing|Rappelling,High altitude treks for the bold,4.5,No,No,Yes,moderate
8,Shimla Heritage & Hills,Shimla,Shimla,India,India,Relaxed|Romantic,Cold|Cool,4,3,25000,couple|family|solo,Mall Road|Jakhu Temple|Toy Train|Apple Orchards,Colonial charm meets Himalayan views,4.4,Yes,Yes,Yes,budget
9,Shimla Couple Winter Escape,Shimla,Shimla,India,India,Romantic,Cold|Cool,5,4,42000,couple,Heritage Walks|Snowfall Spots|Cozy Cafes|Horse Riding,A dreamy winter escape for two,4.5,No,Yes,No,moderate
10,Jaipur Royal Heritage Tour,Jaipur,Jaipur,India,India,Cultural|Adventurous|Spiritual,Warm|Cool,4,3,22000,couple|family|solo,Amber Fort|City Palace|Hawa Mahal|Elephant Ride|Bazaars,Walk through Rajasthan's regal history,4.6,Yes,No,Yes,budget
11,Jaipur Luxury Palace Stay,Jaipur,Jaipur,India,India,Romantic,Cool|Warm,5,4,75000,couple,Palace Hotel|Rooftop Dinner|Vintage Car Ride|Spa,Royal treatment in the Pink City,4.8,No,Yes,No,moderate
12,Jaipur Food & Festival Circuit,Jaipur,Jaipur,India,India,Party|Relaxed,Warm,3,2,18000,friends|solo,Street Food|Desert Festival|Puppet Show|Craft Beer,"Colors, flavors and festivities of Rajasthan",4.3,No,No,Yes,budget
13,Udaipur Lake Romance,Udaipur,Udaipur,India,India,Romantic|Relaxed,Cool|Warm,5,4,58000,couple,Lake Pichola|Boat Ride|Sunset Terrace|Heritage Hotel,City of lakes and timeless romance,4.8,No,Yes,No,moderate
14,Udaipur Heritage Spiritual Walk,Udaipur,Udaipur,India,India,Spiritual|Cultural,Cool|Warm,4,3,28000,solo|couple|family,City Palace|Jagdish Temple|Folk Dance|Mewar Cuisine,Spirituality and splendour in Mewar,4.5,Yes,No,Yes,budget
15,Kerala Backwaters Bliss,Kerala,Kerala,India,India,Relaxed|Spiritual|Romantic,Warm|Rainy,6,5,45000,couple|family|solo,Houseboat|Alleppey|Ayurveda|Tea Estates|Spice Farms,Float through emerald backwaters in serenity,4.7,Yes,Yes,Yes,moderate
16,Kerala Luxury Ayurveda Retreat,Kerala,Kerala,India,India,Relaxed|Romantic,Warm|Rainy,7,6,95000,couple|solo,Luxury Resort|Ayurveda Spa|Yoga|Meditation|Backwaters,Deep healing and rejuvenation in God's own country,4.8,No,Yes,Yes,moderate
17,Kerala Wildlife & Hills Circuit,Kerala,Kerala,India,India,Adventurous|Relaxed,Warm|Rainy,6,5,40000,family|friends|solo,Munnar|Periyar Safari|Thekkady|Waterfalls|Trekking,"Lush hills, wildlife and misty valleys",4.6,Yes,No,Yes,moderate
18,Taj Mahal & Mughal Heritage,Agra,Agra,India,India,Romantic|Spiritual|Cultural,Warm|Cool,3,2,18000,couple|family|solo,Taj Mahal|Agra Fort|Fatehpur Sikri|Mughal Cuisine,An eternal love story set in marble,4.6,Yes,Yes,Yes,budget
19,Varanasi Spiritual Immersion,Varanasi,Varanasi,India,India,Spiritual,Cool|Warm,4,3,15000,solo|couple,Ganga Aarti|Boat Ride|Kashi Vishwanath|Sarnath,Where every soul finds its way,4.7,No,No,Yes,budget
20,Andaman Island Paradise,Andaman,Port Blair,India,India,Relaxed|Adventurous|Romantic,Warm|Hot,6,5,55000,couple|friends|family,Scuba Diving|Snorkeling|Havelock|Neil Island|Kayaking,"Crystal waters, coral reefs and island magic",4.7,Yes,Yes,No,moderate
21,Andaman Honeymoon Escape,Andaman,Port Blair,India,India,Romantic,Warm|Hot,7,6,80000,couple,Private Beach|Glass Bottom Boat|Sunset Cruise|Fine Dining,Secluded paradise for honeymooners,4.8,No,Yes,No,moderate
22,Leh Ladakh Bike Expedition,Leh Ladakh,Leh,India,India,Adventurous|Spiritual,Cold|Cool,8,7,45000,friends|solo,Royal Enfield|Khardung La|Pangong Lake|Nubra Valley,The ultimate high altitude biker's dream,4.8,No,No,Yes,moderate
23,Ladakh Monastery & Lake Retreat,Leh Ladakh,Leh,India,India,Spiritual|Relaxed,Cold,7,6,52000,solo|couple,Thiksey Monastery|Pangong|Tso Moriri|Stargazing,"Silence, sky and soul at the roof of the world",4.7,No,No,Yes,moderate
24,Rishikesh Adventure & Yoga,Rishikesh,Rishikesh,India,India,Adventurous|Spiritual,Cool|Cold,4,3,20000,solo|friends|couple,River Rafting|Bungee|Yoga|Camping|Beatles Ashram,Adrenaline and inner peace by the Ganga,4.5,No,No,Yes,budget
25,Jaisalmer Desert Magic,Jaisalmer,Jaisalmer,India,India,Adventurous|Romantic|Party,Warm|Hot,4,3,25000,couple|friends|solo,Camel Safari|Desert Camp|Sand Dunes|Stargazing|Folk,"Golden dunes, starry nights and Rajasthani soul",4.6,No,Yes,Yes,budget
26,Coorg Coffee & Nature Retreat,Coorg,Coorg,India,India,Relaxed|Romantic,Cool|Rainy,4,3,32000,couple|solo,Coffee Estates|Waterfalls|Trekking|Yoga|Local Cuisine,"Misty hills, coffee aroma and total calm",4.5,No,Yes,Yes,moderate
27,Ooty Nilgiri Hills Escape,Ooty,Ooty,India,India,Relaxed|Romantic,Cool,4,3,22000,couple|family|solo,Nilgiri Train|Tea Gardens|Botanical Garden|Lake,Rolling green hills and colonial calm,4.3,Yes,Yes,Yes,budget
28,Amritsar Golden Temple Pilgrimage,Amritsar,Amritsar,India,India,Spiritual|Cultural,Cool|Warm,3,2,12000,solo|family|couple,Golden Temple|Wagah Border|Langar|Heritage Walk,A journey for the soul,4.7,Yes,No,Yes,budget
29,Darjeeling Tea & Sunrise Tour,Darjeeling,Darjeeling,India,India,Relaxed|Romantic,Cold|Cool,4,3,26000,couple|solo|family,Tiger Hill Sunrise|Tea Gardens|Toy Train|Monastery,Misty mornings and the finest teas in the world,4.5,Yes,Yes,Yes,budget
30,Spiti Valley Offbeat Circuit,Spiti Valley,Kaza,India,India,Adventurous|Spiritual,Cold,8,7,48000,solo|friends,Key Monastery|Chandratal|Trekking|Star Gazing|Villages,"Raw, remote and breathtakingly beautiful",4.8,No,No,Yes,moderate
31,Ranthambore Tiger Safari,Ranthambore,Ranthambore,India,India,Adventurous|Relaxed,Warm|Cool,4,3,38000,family|couple|solo,Tiger Safari|Jeep Ride|Fort|Bird Watching|Photography,Face to face with the wild,4.7,Yes,No,Yes,moderate
32,Mysore Palace & Culture Tour,Mysore,Mysore,India,India,Cultural|Spiritual|Relaxed,Warm|Cool,3,2,18000,family|couple|solo,Mysore Palace|Dasara|Zoo|Sandalwood|Chamundi Hills,"Grandeur, tradition and royal heritage",4.5,Yes,No,Yes,budget
33,Pondicherry French Riviera,Pondicherry,Pondicherry,India,India,Relaxed|Spiritual|Romantic,Warm|Cool,4,3,24000,couple|solo|friends,Auroville|French Quarter|Beaches|Yoga|Cafes,"French soul, Indian heart",4.5,No,Yes,Yes,budget
34,Hampi Ruins & Bouldering,Hampi,Hampi,India,India,Adventurous|Cultural|Spiritual,Warm|Hot,4,3,16000,solo|friends,Virupaksha Temple|Bouldering|Ruins|Coracle Ride,Ancient grandeur and adventure among boulders,4.6,No,No,Yes,budget
35,Kochi Heritage Coastal Tour,Kochi,Kochi,India,India,Cultural|Relaxed,Warm|Cool,4,3,22000,couple|family|solo,Fort Kochi|Chinese Nets|Kathakali|Backwaters|Seafood,Where history meets the sea,4.4,Yes,No,Yes,budget
36,"Pune Forts, Food & Nightlife",Pune,Pune,India,India,Party|Relaxed|Cultural,Cool|Warm,3,2,18000,friends|solo|couple,Shaniwar Wada|Nightlife|Koregaon Park|Street Food|Cafes,India's coolest young city,4.2,No,No,Yes,budget
37,Kashmir Paradise on Earth,Kashmir,Srinagar,India,India,Romantic|Relaxed|Spiritual,Cold|Cool,6,5,55000,couple|family,Dal Lake|Shikara|Pahalgam|Gulmarg|Saffron Fields,Snow-capped heaven — India's most breathtaking valley,4.8,Yes,Yes,No,moderate
38,Kashmir Ski & Snow Sports,Kashmir,Srinagar,India,India,Adventurous,Cold,5,4,48000,friends|solo,Gulmarg Skiing|Gondola|Snow Trek|Ice Skating,World-class skiing in the Himalayas,4.7,No,No,Yes,moderate
39,Munnar Tea Estate Escape,Munnar,Munnar,India,India,Relaxed|Romantic,Cool|Rainy,4,3,28000,couple|solo,Tea Estates|Eravikulam NP|Waterfalls|Trekking|Sunrise,Green valleys and misty mornings,4.6,No,Yes,Yes,budget
40,Jodhpur Blue City & Desert,Jodhpur,Jodhpur,India,India,Cultural|Adventurous,Warm|Hot,3,2,20000,solo|couple|friends,Mehrangarh Fort|Blue Lanes|Zip Line|Desert Food,The majestic blue city of the Thar,4.5,No,No,Yes,budget
41,Maldives Overwater Villa Escape,Maldives,Male,Maldives,International,Romantic|Relaxed,Warm|Hot,5,4,180000,couple,Overwater Bungalow|Snorkeling|Dolphin Cruise|Spa|Diving,The world's most romantic island escape,4.9,No,Yes,No,premium
42,Maldives Dive & Snorkel Explorer,Maldives,Male,Maldives,International,Adventurous|Relaxed,Warm|Hot,6,5,150000,friends|couple|solo,Scuba Diving|Whale Shark|Manta Ray|Island Hopping,Beneath the surface lies another world,4.8,No,No,Yes,premium
43,Maldives Budget Lagoon Stay,Maldives,Male,Maldives,International,Relaxed,Warm|Hot,4,3,90000,couple|solo,Lagoon Beach|Snorkeling|Sunset Fishing|Local Island,Maldives beauty without breaking the bank,4.5,No,No,Yes,moderate
44,Mauritius Honeymoon Paradise,Mauritius,Port Louis,Mauritius,International,Romantic|Relaxed,Warm|Hot,7,6,160000,couple,Private Beach|Coral Reef|Helicopter Tour|Spa|Dining,An island of endless romance,4.8,No,Yes,No,premium
45,Mauritius Adventure Circuit,Mauritius,Port Louis,Mauritius,International,Adventurous|Party,Warm|Hot,6,5,130000,friends|solo,Kitesurfing|Quad Biking|Underwater Waterfall|Hiking,Thrill and beauty on a volcanic island,4.6,No,No,Yes,premium
46,Bangkok City Pulse,Bangkok,Bangkok,Thailand,International,Party|Cultural|Adventurous,Warm|Hot,5,4,45000,friends|solo|couple,Grand Palace|Street Food|Tuk Tuk|Chatuchak|Nightlife,The city that never sleeps — and never disappoints,4.5,No,No,Yes,moderate
47,Bangkok Temple & Culture Tour,Bangkok,Bangkok,Thailand,International,Spiritual|Cultural,Warm|Hot,4,3,38000,solo|couple|family,Wat Pho|Wat Arun|Floating Market|Thai Cooking Class,Ancient temples and Thai culture at its finest,4.6,Yes,No,Yes,moderate
48,Pattaya Beach & Nightlife Blast,Pattaya,Pattaya,Thailand,International,Party|Relaxed,Warm|Hot,5,4,40000,friends|solo,Walking Street|Water Park|Beach|Island Tour|Clubs,"Sun, sea and nonstop entertainment",4.2,No,No,Yes,moderate
49,Pattaya Water Sports & Islands,Pattaya,Pattaya,Thailand,International,Adventurous|Relaxed,Warm|Hot,4,3,35000,friends|couple,Koh Larn|Bungee|Parasailing|Jet Ski|Coral Island,Island hopping and aqua thrills near Pattaya,4.3,No,No,No,moderate
50,Phuket Island Life,Phuket,Phuket,Thailand,International,Relaxed|Romantic|Party,Warm|Hot,6,5,58000,couple|friends|solo,Maya Bay|Phi Phi|Elephant Sanctuary|Patong|Diving,"Thailand's crown jewel — beaches, islands, culture",4.6,No,Yes,Yes,moderate
51,Phuket Romantic Getaway,Phuket,Phuket,Thailand,International,Romantic,Warm|Hot,5,4,75000,couple,Private Villa|Sunset Cruise|Spa|Fine Dining|Snorkeling,Intimate moments on Thailand's most beautiful shores,4.7,No,Yes,No,moderate
52,Chiang Mai Culture & Temples,Chiang Mai,Chiang Mai,Thailand,International,Spiritual|Relaxed|Cultural,Cool|Warm,5,4,38000,solo|couple|family,Doi Inthanon|Elephant Sanctuary|Night Bazaar|Cooking,Ancient Lanna culture and gentle northern charms,4.6,Yes,No,Yes,moderate
53,Dubai Luxury & Glamour,Dubai,Dubai,UAE,International,Party|Luxury|Romantic,Warm|Hot,5,4,120000,couple|friends|solo,Burj Khalifa|Desert Safari|Atlantis|Shopping|Burj Al Arab,Where luxury has no limits,4.6,No,Yes,Yes,premium
54,Dubai Thrills & Adventure,Dubai,Dubai,UAE,International,Adventurous|Party,Warm|Hot,4,3,85000,friends|solo|couple,Dune Bashing|Skydiving|Ferrari World|Water Parks,Heart-stopping adventures in the desert city,4.5,No,No,Yes,moderate
55,Dubai Heritage & Culture Tour,Dubai,Dubai,UAE,International,Cultural|Spiritual,Warm|Cool,4,3,70000,family|solo|couple,Gold Souk|Al Fahidi|Dhow Cruise|Spice Souk|Mosque,The soul of old Arabia in a modern marvel,4.5,Yes,No,Yes,moderate
56,Dubai Honeymoon Extravaganza,Dubai,Dubai,UAE,International,Romantic,Warm|Hot,6,5,175000,couple,Overwater Villa|Private Desert|Luxury Spa|Yacht|Dining,Unmatched luxury for the most special trip,4.8,No,Yes,No,premium
57,Bali Soul & Serenity,Bali,Bali,Indonesia,International,Relaxed|Spiritual|Romantic,Warm|Hot,6,5,55000,couple|solo,Ubud|Tegallalang|Tanah Lot|Yoga|Rice Terraces|Spa,Bali's spiritual heartbeat and lush landscapes,4.7,No,Yes,Yes,moderate
58,"Bali Surf, Party & Explore",Bali,Bali,Indonesia,International,Party|Adventurous,Warm|Hot,6,5,52000,friends|solo,Seminyak|Kuta Surf|Canggu|Waterfalls|Mount Batur,"Waves, vibes and Bali's electric energy",4.5,No,No,Yes,moderate
59,Bali Honeymoon Dream,Bali,Bali,Indonesia,International,Romantic,Warm|Hot,7,6,95000,couple,Private Pool Villa|Sunset Dinner|Spa|Ubud Swing|Rice Terraces,Bali's magic for two,4.8,No,Yes,No,moderate
60,Japan City & Culture Grand Tour,Japan,Tokyo,Japan,International,Cultural|Adventurous|Party,Cool|Cold,8,7,125000,friends|solo|couple,Shibuya|Mt Fuji|Kyoto|Nara Deer Park|Ramen|Bullet Train,"Ancient temples, neon cities and bullet trains",4.8,No,No,Yes,premium
61,Kyoto Traditional Japan,Japan,Kyoto,Japan,International,Spiritual|Cultural|Romantic,Cool|Cold,6,5,105000,couple|solo,Geisha District|Bamboo Forest|Tea Ceremony|Zen Gardens,Step into ancient Japan — timeless and serene,4.8,No,Yes,Yes,premium
62,Osaka Food & Fun Festival,Japan,Osaka,Japan,International,Party|Cultural,Cool,5,4,90000,friends|solo,Dotonbori|Street Food|Osaka Castle|Namba|Takoyaki,Japan's kitchen and comedy capital,4.7,No,No,Yes,moderate
63,Hokkaido Snow & Onsen,Japan,Hokkaido,Japan,International,Adventurous|Romantic,Cold|Snowy,6,5,115000,couple|friends,Skiing|Onsen|Snow Festival|Seafood|Ice Sculptures,Japan's icy wonderland,4.7,No,Yes,No,premium
64,China Great Wall & Heritage,China,Beijing,China,International,Cultural|Adventurous,Cool|Cold,7,6,100000,family|couple|solo,Great Wall|Forbidden City|Terracotta Army|Li River,"Walk the wall, feel the dynasty",4.6,Yes,No,Yes,moderate
65,Shanghai Modern & Bund Tour,China,Shanghai,China,International,Party|Cultural,Cool|Warm,5,4,88000,friends|solo|couple,The Bund|Shanghai Tower|Yuyuan Garden|Nightlife,East meets West in China's electric city,4.5,No,No,Yes,moderate
66,Paris Romance & Art,Europe,Paris,Europe,International,Romantic|Cultural,Cool|Cold,6,5,175000,couple,Eiffel Tower|Louvre|Seine Cruise|Versailles|Champs,"The city of love, light and croissants",4.8,No,Yes,No,premium
67,Rome Colosseum & Culture,Europe,Rome,Europe,International,Cultural|Spiritual,Warm|Cool,5,4,155000,couple|solo|family,Colosseum|Vatican|Trevi Fountain|Pasta Tour,"Eternal city, eternal memories",4.7,Yes,No,Yes,premium
68,Barcelona Beach & Architecture,Europe,Barcelona,Europe,International,Party|Cultural|Relaxed,Warm|Cool,6,5,160000,friends|couple|solo,Sagrada Familia|Las Ramblas|Barceloneta|Nightlife,"Gaudi, tapas and Mediterranean sunshine",4.7,No,No,Yes,premium
69,Amsterdam Canals & Culture,Europe,Amsterdam,Europe,International,Relaxed|Cultural|Party,Cool|Cold,5,4,150000,friends|couple|solo,Canal Cruise|Anne Frank House|Keukenhof|Cycling,"Tulips, canals and effortless charm",4.6,No,No,Yes,premium
70,Santorini Sunset Escape,Europe,Santorini,Europe,International,Romantic|Relaxed,Warm|Hot,6,5,195000,couple,Oia Sunset|Caldera View|Wine Tasting|Sailing|Beaches,"Blue domes, white walls and the most beautiful sunsets",4.9,No,Yes,No,premium
71,Sri Lanka Heritage Express,Sri Lanka,Colombo,Sri Lanka,International,Cultural|Relaxed,Warm|Rainy,6,5,42000,family|couple|solo,Sigiriya|Kandy Temple|Tea Trails|Galle Fort|Beaches,"Ancient wonders, misty hills and golden beaches",4.6,Yes,No,Yes,moderate
72,Sri Lanka Scenic Train & Hike,Sri Lanka,Ella,Sri Lanka,International,Adventurous|Relaxed,Cool|Warm,5,4,38000,solo|friends|couple,Ella Rock|Nine Arch Bridge|Tea Estates|Adam's Peak,One of the world's most scenic train journeys,4.7,No,No,Yes,moderate
73,Sri Lanka Beach & Wellness,Sri Lanka,Bentota,Sri Lanka,International,Romantic|Relaxed,Warm|Hot,5,4,48000,couple|solo,Bentota Beach|River Safari|Ayurveda|Turtle Hatchery,Beach serenity and gentle wellness,4.5,No,Yes,Yes,moderate
74,Singapore City Marvel,Singapore,Singapore,Singapore,International,Party|Cultural|Relaxed,Warm|Hot,5,4,85000,friends|couple|family,Gardens by Bay|Marina Bay|Sentosa|Hawker Food|Universal,"Small city, infinite wonders",4.6,Yes,No,No,moderate
75,Singapore Luxury & Leisure,Singapore,Singapore,Singapore,International,Relaxed|Romantic,Warm|Hot,5,4,110000,couple|solo,Infinity Pool|Fine Dining|Night Safari|Clarke Quay,Singapore in style,4.7,No,Yes,Yes,premium
76,KL City & Petronas Highlights,Malaysia,Kuala Lumpur,Malaysia,International,Cultural|Party|Relaxed,Warm|Hot,5,4,45000,friends|couple|solo,Petronas Towers|Batu Caves|Street Food|Bukit Bintang,Modern skyline meets ancient culture,4.4,No,No,Yes,moderate
77,Langkawi Island Paradise,Malaysia,Langkawi,Malaysia,International,Relaxed|Romantic,Warm|Hot,5,4,58000,couple|friends|solo,Duty Free|Cable Car|Beaches|Island Hopping|Snorkeling,Duty-free island with pristine beaches,4.5,No,Yes,Yes,moderate
78,Penang Street Food & Heritage,Malaysia,Penang,Malaysia,International,Cultural|Party,Warm|Hot,4,3,38000,friends|solo|couple,Georgetown|Street Art|Street Food|Penang Hill|Culture,Asia's food capital — a UNESCO heritage city,4.6,No,No,Yes,moderate
79,Switzerland Alpine Romance,Switzerland,Zurich,Switzerland,International,Romantic|Relaxed,Cold|Cool,7,6,220000,couple,Jungfraujoch|Interlaken|Lucerne|Geneva|Chocolate Tour,Storybook landscapes and picture-perfect snow,4.8,No,Yes,No,premium
80,Switzerland Adventure Peaks,Switzerland,Interlaken,Switzerland,International,Adventurous,Cold|Cool,6,5,195000,friends|solo,Paragliding|Skiing|Skydiving|Hiking|Ice Climbing,Europe's adventure capital in the Alps,4.7,No,No,Yes,premium
81,Zermatt Matterhorn Snow Escape,Switzerland,Zermatt,Switzerland,International,Relaxed|Romantic,Cold|Snowy,6,5,210000,couple|friends,Matterhorn View|Skiing|Sledging|Fondue|Glacier Walk,The most iconic mountain backdrop in the world,4.8,No,Yes,No,premium
